Date,Close,Open,High,Low
"Nov 26, 2021","36,157.80","37,055.25","37,093.75","36,025.05"
"Nov 25, 2021","37,364.75","37,324.00","37,538.70","37,115.00"
"Nov 24, 2021","37,465.00","37,401.00","37,895.50","37,239.45"
"Nov 23, 2021","37,284.30","36,921.65","37,474.95","36,682.00"
"Nov 22, 2021","37,182.10","38,199.90","38,214.10","36,680.05"
"Nov 18, 2021","38,105.70","38,102.35","38,314.90","37,821.30"
"Nov 17, 2021","38,139.40","38,150.00","38,562.85","38,055.00"
"Nov 16, 2021","38,404.15","38,800.00","38,849.80","38,292.45"
"Nov 15, 2021","38,858.00","38,950.00","39,179.70","38,712.05"
"Nov 12, 2021","38,871.35","38,171.05","38,948.95","38,171.05"
"Nov 11, 2021","38,686.10","39,044.00","39,044.00","38,442.95"
"Nov 10, 2021","39,120.60","39,337.00","39,350.00","38,985.95"
"Nov 09, 2021","39,544.60","39,675.00","39,708.00","39,351.75"
"Nov 08, 2021","39,652.50","39,615.05","39,750.95","39,051.00"
"Nov 04, 2021","39,632.65","39,600.55","39,780.00","39,574.00"
"Nov 03, 2021","39,496.60","40,106.00","40,295.00","39,412.45"
"Nov 02, 2021","40,081.55","40,075.00","40,250.00","39,725.00"
"Nov 01, 2021","40,028.10","39,555.00","40,116.00","39,254.15"
"Oct 29, 2021","39,314.45","39,644.95","39,890.85","38,606.90"
"Oct 28, 2021","39,508.95","40,877.00","40,949.00","39,476.00"
"Oct 27, 2021","40,959.95","41,305.00","41,364.40","40,840.40"
"Oct 26, 2021","41,360.45","41,214.90","41,424.00","40,876.05"
"Oct 25, 2021","41,271.90","40,806.00","41,820.80","40,455.05"
"Oct 22, 2021","40,396.40","40,251.15","40,582.45","40,195.85"
"Oct 21, 2021","40,105.05","39,733.00","40,326.85","39,482.35"
"Oct 20, 2021","39,654.90","39,512.50","39,850.00","39,394.85"
"Oct 19, 2021","39,633.35","39,959.95","40,040.45","39,409.00"
"Oct 18, 2021","39,782.45","39,785.00","40,001.95","39,612.20"
"Oct 14, 2021","39,402.35","38,726.25","39,425.00","38,702.00"
"Oct 13, 2021","38,718.35","38,750.05","38,836.80","38,554.95"
"Oct 12, 2021","38,588.35","38,259.00","38,668.00","38,180.00"
"Oct 11, 2021","38,373.45","38,000.00","38,569.65","37,859.15"
"Oct 08, 2021","37,917.05","38,029.95","38,200.00","37,788.45"
"Oct 07, 2021","37,886.30","37,912.00","38,049.90","37,768.10"
"Oct 06, 2021","37,624.35","37,887.85","38,190.00","37,560.00"
"Oct 05, 2021","37,864.20","37,600.00","37,912.00","37,472.15"
"Oct 04, 2021","37,735.25","37,445.00","37,785.00","37,445.00"
"Oct 01, 2021","37,356.40","37,321.00","37,424.95","36,950.15"
"Sep 30, 2021","37,425.10","37,810.05","37,913.15","37,384.40"
"Sep 29, 2021","37,878.50","37,675.65","38,048.85","37,392.65"
"Sep 28, 2021","38,044.15","38,350.10","38,377.00","37,351.00"
"Sep 27, 2021","38,224.80","37,994.00","38,395.60","37,974.40"
"Sep 24, 2021","37,854.30","38,051.50","38,174.90","37,720.00"
"Sep 23, 2021","37,861.05","37,350.00","37,910.20","37,273.00"
"Sep 22, 2021","37,100.30","37,349.00","37,440.00","36,990.00"
"Sep 21, 2021","37,370.50","37,300.00","37,435.00","36,609.35"
"Sep 20, 2021","37,224.25","37,525.00","37,885.00","37,145.40"
"Sep 17, 2021","37,850.05","37,990.00","38,224.70","37,466.00"
"Sep 16, 2021","37,780.20","37,020.00","37,855.65","36,984.10"
"Sep 15, 2021","36,968.25","36,761.10","37,064.75","36,590.35"
"Sep 14, 2021","36,714.45","36,701.00","36,839.00","36,616.20"
"Sep 13, 2021","36,576.55","36,730.60","36,744.90","36,412.00"
"Sep 09, 2021","36,772.55","36,725.25","36,963.40","36,651.00"
"Sep 08, 2021","36,881.70","36,619.00","36,946.00","36,502.00"
"Sep 07, 2021","36,585.95","36,700.05","36,838.50","36,251.20"
"Sep 06, 2021","36,757.15","36,995.00","37,037.00","36,690.05"
"Sep 03, 2021","36,899.75","37,038.95","37,249.00","36,670.05"
"Sep 02, 2021","36,969.25","36,511.00","37,033.85","36,511.00"
"Sep 01, 2021","36,699.00","36,625.05","37,085.00","36,558.00"
"Aug 31, 2021","36,513.50","36,498.00","36,690.00","36,321.85"
"Aug 30, 2021","36,478.85","35,825.20","36,532.35","35,820.00"
"Aug 27, 2021","35,725.50","35,677.65","35,817.25","35,470.80"
"Aug 26, 2021","35,617.55","35,520.00","35,787.95","35,425.00"
"Aug 25, 2021","35,617.65","35,761.05","35,909.95","35,520.00"
"Aug 24, 2021","35,719.35","35,152.10","35,817.55","35,085.00"
"Aug 23, 2021","35,159.20","35,401.00","35,401.00","34,850.00"
"Aug 20, 2021","35,062.95","35,012.20","35,329.00","34,902.00"
"Aug 18, 2021","35,601.30","36,275.00","36,280.00","35,477.00"
"Aug 17, 2021","35,937.85","35,988.70","36,060.00","35,690.75"
"Aug 16, 2021","36,140.25","36,151.10","36,296.35","36,070.95"
"Aug 13, 2021","36,211.75","36,100.00","36,269.15","35,960.00"
"Aug 12, 2021","36,063.80","35,825.40","36,128.00","35,793.10"
"Aug 11, 2021","35,917.20","36,250.25","36,274.95","35,670.00"
"Aug 10, 2021","36,135.10","36,039.95","36,395.15","36,012.00"
"Aug 09, 2021","36,128.60","35,900.00","36,278.00","35,804.05"
"Aug 06, 2021","35,941.05","35,953.60","36,182.50","35,787.05"
"Aug 05, 2021","35,954.10","36,116.45","36,174.65","35,751.00"
"Aug 04, 2021","36,094.35","35,425.10","36,275.00","35,413.00"
"Aug 03, 2021","35,296.70","34,825.05","35,347.00","34,782.05"
"Aug 02, 2021","34,825.85","34,820.50","34,987.15","34,678.25"
"Jul 30, 2021","34,673.15","34,800.00","34,850.00","34,545.05"
"Jul 29, 2021","34,691.50","34,675.25","34,777.05","34,482.90"
"Jul 28, 2021","34,559.30","34,768.50","34,829.00","34,118.20"
"Jul 27, 2021","34,817.85","35,039.95","35,188.00","34,710.30"
"Jul 26, 2021","34,962.80","34,889.00","35,155.00","34,731.85"
